question,answer,category,num_evidence,BM25,TF-IDF,SVM,FAISS,Time-Weighted,any_retriever_found
When did Caroline go to the LGBTQ support group?,7 May 2023,2,1,1,1,1,1,1,1
When did Melanie paint a sunrise?,2022,2,1,0,0,0,0,0,0
What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",3,2,0,0,0,0,0,0
What did Caroline research?,Adoption agencies,1,1,0,0,0,0,0,0
What is Caroline's identity?,Transgender woman,1,1,0,0,0,0,0,0
When did Melanie run a charity race?,The sunday before 25 May 2023,2,1,1,1,0,0,0,1
When is Melanie planning on going camping?,June 2023,2,1,0,0,0,1,0,1
What is Caroline's relationship status?,Single,1,2,0,0,0,0,0,0
When did Caroline give a speech at a school?,The week before 9 June 2023,2,1,0,0,0,0,0,0
"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,2,1,1,1,0,0,0,1
How long has Caroline had her current group of friends for?,4 years,2,1,0,0,0,0,0,0
Where did Caroline move from 4 years ago?,Sweden,1,2,0,0,0,0,0,0
How long ago was Caroline's 18th birthday?,10 years ago,2,1,1,1,0,0,0,1
What career path has Caroline decided to persue?,counseling or mental health for Transgender people,1,2,0,0,0,0,0,0
Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,3,2,0,0,0,0,0,0
What activities does Melanie partake in?,"pottery, camping, painting, swimming",1,4,0,0,0,0,0,0
When did Melanie sign up for a pottery class?,2 July 2023,2,1,0,0,0,0,0,0
When is Caroline going to the transgender conference?,July 2023,2,1,1,1,1,1,0,1
Where has Melanie camped?,"beach, mountains, forest",1,3,0,0,0,0,0,0
What do Melanie's kids like?,"dinosaurs, nature",1,2,0,0,0,0,0,0
When did Melanie go to the museum?,5 July 2023,2,1,0,1,0,0,0,1
When did Caroline have a picnic?,The week before 6 July 2023,2,1,0,0,0,0,0,0
Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",3,1,0,0,0,0,0,0
What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""",1,2,0,0,0,0,0,0
What does Melanie do to destress?,"Running, pottery",1,2,0,0,0,0,0,0
When did Caroline go to the LGBTQ conference?,10 July 2023,2,1,0,0,0,0,0,0
"When did Melanie read the book ""nothing is impossible""?",2022,2,1,0,0,0,0,0,0
Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor",3,2,0,0,0,0,0,0
When did Caroline go to the adoption meeting?,The friday before 15 July 2023,2,1,0,0,0,0,0,0
When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,2,1,0,1,0,0,0,1
When did Melanie go camping in June?,The week before 27 June 2023,2,1,0,0,0,0,0,0
What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group",1,4,0,0,0,0,0,0
When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,2,1,0,1,1,0,0,1
What events has Caroline participated in to help children?,"Mentoring program, school speech",1,2,0,0,0,0,0,0
When did Melanie go camping in July?,two weekends before 17 July 2023,2,1,0,0,0,0,0,0
When did Caroline join a mentorship program?,The weekend before 17 July 2023,2,1,1,1,0,0,0,1
What did Melanie paint recently?,sunset,1,1,0,0,0,0,0,0
What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking",1,6,0,0,0,0,0,0
In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program",1,4,0,0,0,0,0,0
How many times has Melanie gone to the beach in 2023?,2,1,2,0,0,0,0,0,0
When did Caroline join a new activist group?,The Tuesday before 20 July 2023,2,1,1,1,0,0,0,1
Would Melanie be more interested in going to a national park or a theme park?,National park; she likes the outdoors,3,2,0,0,0,0,0,0
What kind of art does Caroline make?,abstract art,1,3,0,0,0,0,0,0
When is Melanie's daughter's birthday?,13 August,2,1,1,1,0,0,0,1
When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,2,1,0,1,0,0,0,1
Who supports Caroline when she has a negative experience?,"Her mentors, family, and friends",1,2,0,0,0,0,0,0
What types of pottery have Melanie and her kids made?,"bowls, cup",1,3,0,0,0,1,0,1
When did Caroline and Melanie go to a pride fesetival together?,2022,2,1,0,0,0,0,0,0
What would Caroline's political leaning likely be?,Liberal,3,1,0,0,0,0,0,0
What has Melanie painted?,"Horse, sunset, sunrise",1,3,0,0,0,0,0,0
What are Melanie's pets' names?,"Oliver, Luna, Bailey",1,2,0,0,0,0,0,0
When did Caroline apply to adoption agencies?,The week of 23 August 2023,2,1,1,1,0,0,0,1
When did Caroline draw a self-portrait?,The week before 23 August 2023,2,1,1,1,0,0,0,1
What subject have Caroline and Melanie both painted?,Sunsets,1,2,0,0,0,0,0,0
What symbols are important to Caroline?,"Rainbow flag, transgender symbol",1,2,0,0,0,0,0,0
When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,2,1,0,0,0,0,0,0
When did Melanie make a plate in pottery class?,24 August 2023,2,1,1,1,0,1,0,1
Would Caroline be considered religious?,"Somewhat, but not extremely religious",3,2,0,1,0,0,0,1
What instruments does Melanie play?,clarinet and violin,1,2,0,0,0,0,0,0
What musical artists/bands has Melanie seen?,"Summer Sounds, Matt Patterson",1,2,0,0,0,0,0,0
When did Melanie go to the park?,27 August 2023,2,1,0,0,0,0,0,0
When is Caroline's youth center putting on a talent show?,September 2023,2,1,1,1,1,1,0,1
"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",Yes; it's classical music,3,1,0,0,1,0,0,1
What are some changes Caroline has faced during her transition journey?,"Changes to her body, losing unsupportive friends",1,2,0,0,0,0,0,0
What does Melanie do with her family on hikes?,"Roast marshmallows, tell stories",1,2,0,0,0,0,0,0
When did Caroline go biking with friends?,The weekend before 13 September 2023,2,1,0,0,0,0,0,0
How long has Melanie been practicing art?,Since 2016,2,1,0,0,0,0,0,0
What personality traits might Melanie say Caroline has?,"Thoughtful, authentic, driven",3,3,0,0,0,0,0,0
What transgender-specific events has Caroline attended?,"Poetry reading, conference",1,2,0,0,1,0,0,1
What book did Melanie read from Caroline's suggestion?,"""Becoming Nicole""",1,2,0,0,0,0,0,0
