question_id,question_type,question,question_date,answer,num_answer_session_ids,BM25,TF-IDF,SVM,FAISS,Time-Weighted,any_retriever_found
e47becba,single-session-user,What degree did I graduate with?,2023/05/30 (Tue) 23:40,Business Administration,1,1,1,1,1,0,1
118b2229,single-session-user,How long is my daily commute to work?,2023/05/30 (Tue) 20:36,45 minutes each way,1,1,1,1,1,1,1
51a45a95,single-session-user,Where did I redeem a $5 coupon on coffee creamer?,2023/05/30 (Tue) 20:42,Target,1,1,1,1,1,1,1
58bf7951,single-session-user,What play did I attend at the local community theater?,2023/05/30 (Tue) 22:53,The Glass Menagerie,1,1,1,1,1,1,1
1e043500,single-session-user,What is the name of the playlist I created on Spotify?,2023/05/30 (Tue) 19:19,Summer Vibes,1,1,1,1,1,1,1
c5e8278d,single-session-user,What was my last name before I changed it?,2023/05/30 (Tue) 22:36,Johnson,1,1,1,1,1,1,1
6ade9755,single-session-user,Where do I take yoga classes?,2023/05/30 (Tue) 21:04,Serenity Yoga,1,1,1,1,1,1,1
6f9b354f,single-session-user,What color did I repaint my bedroom walls?,2023/05/30 (Tue) 22:42,a lighter shade of gray,1,1,1,1,1,0,1
58ef2f1c,single-session-user,When did I volunteer at the local animal shelter's fundraising dinner?,2023/04/02 (Sun) 23:49,February 14th,1,1,1,1,1,1,1
f8c5f88b,single-session-user,Where did I buy my new tennis racket from?,2023/05/30 (Tue) 23:39,the sports store downtown,1,1,1,1,1,1,1
5d3d2817,single-session-user,What was my previous occupation?,2023/05/30 (Tue) 20:08,Marketing specialist at a small startup,1,1,1,0,0,0,1
7527f7e2,single-session-user,How much did I spend on a designer handbag?,2023/05/30 (Tue) 23:20,$800,1,1,1,1,1,1,1
c960da58,single-session-user,How many playlists do I have on Spotify?,2023/05/30 (Tue) 18:45,20,1,1,1,1,1,1,1
3b6f954b,single-session-user,Where did I attend for my study abroad program?,2023/05/30 (Tue) 16:24,University of Melbourne in Australia,1,1,1,1,1,0,1
726462e0,single-session-user,What was the discount I got on my first purchase from the new clothing brand?,2023/05/30 (Tue) 23:15,10%,1,1,1,0,0,0,1
94f70d80,single-session-user,How long did it take me to assemble the IKEA bookshelf?,2023/05/30 (Tue) 23:11,4 hours,1,1,1,1,1,1,1
66f24dbb,single-session-user,What did I buy for my sister's birthday gift?,2023/05/30 (Tue) 17:09,a yellow dress,1,1,1,1,1,1,1
ad7109d1,single-session-user,What speed is my new internet plan?,2023/05/30 (Tue) 21:56,500 Mbps,1,1,1,1,1,1,1
af8d2e46,single-session-user,How many shirts did I pack for my 5-day trip to Costa Rica?,2023/05/30 (Tue) 14:18,7,1,1,1,1,1,1,1
dccbc061,single-session-user,What was my previous stance on spirituality?,2023/05/30 (Tue) 19:10,A staunch atheist,1,1,1,1,1,1,1
c8c3f81d,single-session-user,What brand are my favorite running shoes?,2023/05/30 (Tue) 23:27,Nike,1,1,1,1,1,1,1
8ebdbe50,single-session-user,What certification did I complete last month?,2023/05/30 (Tue) 18:44,Data Science,1,1,1,1,1,1,1
6b168ec8,single-session-user,How many bikes do I own?,2023/05/30 (Tue) 20:24,three,1,1,1,1,1,1,1
75499fd8,single-session-user,What breed is my dog?,2023/05/30 (Tue) 20:25,Golden Retriever,1,1,1,1,1,1,1
21436231,single-session-user,How many largemouth bass did I catch on my fishing trip to Lake Michigan?,2023/05/30 (Tue) 19:25,12,1,1,1,1,1,1,1
95bcc1c8,single-session-user,How many amateur comedians did I watch perform at the open mic night?,2023/05/30 (Tue) 22:04,10,1,1,1,1,1,1,1
0862e8bf,single-session-user,What is the name of my cat?,2023/05/30 (Tue) 12:18,Luna,1,1,1,1,1,1,1
853b0a1d,single-session-user,How old was I when my grandma gave me the silver necklace?,2023/05/30 (Tue) 21:54,18,1,1,1,1,1,1,1
a06e4cfe,single-session-user,What is my preferred gin-to-vermouth ratio for a classic gin martini?,2023/05/30 (Tue) 23:48,3:1,1,1,1,1,1,1,1
37d43f65,single-session-user,How much RAM did I upgrade my laptop to?,2023/05/30 (Tue) 17:03,16GB,1,1,1,1,1,1,1
b86304ba,single-session-user,How much is the painting of a sunset worth in terms of the amount I paid for it?,2023/05/30 (Tue) 23:18,The painting is worth triple what I paid for it.,1,1,1,1,1,1,1
d52b4f67,single-session-user,Where did I attend my cousin's wedding?,2023/05/30 (Tue) 23:57,The Grand Ballroom,1,1,1,1,1,1,1
25e5aa4f,single-session-user,Where did I complete my Bachelor's degree in Computer Science?,2023/05/30 (Tue) 15:02,"University of California, Los Angeles (UCLA)",1,1,1,1,1,1,1
caf9ead2,single-session-user,How long did it take to move to the new apartment?,2023/05/30 (Tue) 22:44,5 hours,1,1,1,1,1,1,1
8550ddae,single-session-user,What type of cocktail recipe did I try last weekend?,2023/05/30 (Tue) 23:51,lavender gin fizz,1,1,1,1,1,1,1
60d45044,single-session-user,What type of rice is my favorite?,2023/05/30 (Tue) 20:46,Japanese short-grain rice,1,1,1,1,1,1,1
3f1e9474,single-session-user,Who did I have a conversation with about destiny?,2023/05/30 (Tue) 22:08,Sarah,1,1,1,1,1,1,1
86b68151,single-session-user,Where did I buy my new bookshelf from?,2023/05/30 (Tue) 18:56,IKEA,1,1,1,1,1,1,1
577d4d32,single-session-user,What time do I stop checking work emails and messages?,2023/05/30 (Tue) 23:54,7 pm,1,1,1,1,1,1,1
ec81a493,single-session-user,How many copies of my favorite artist's debut album were released worldwide?,2023/05/30 (Tue) 17:14,500,1,1,1,1,1,1,1
15745da0,single-session-user,How long have I been collecting vintage cameras?,2023/05/30 (Tue) 21:43,three months,1,1,1,1,1,1,1
e01b8e2f,single-session-user,Where did I go on a week-long trip with my family?,2023/05/30 (Tue) 21:42,Hawaii,1,1,1,1,1,1,1
bc8a6e93,single-session-user,What did I bake for my niece's birthday party?,2023/05/30 (Tue) 13:46,a lemon blueberry cake,1,1,1,0,0,0,1
ccb36322,single-session-user,What is the name of the music streaming service have I been using lately?,2023/05/30 (Tue) 23:26,Spotify,1,1,1,1,1,0,1
001be529,single-session-user,How long did I wait for the decision on my asylum application?,2023/05/30 (Tue) 10:18,over a year,1,1,1,1,1,0,1
b320f3f8,single-session-user,What type of action figure did I buy from a thrift store?,2023/05/30 (Tue) 17:49,a blue Snaggletooth,1,1,1,1,1,1,1
19b5f2b3,single-session-user,How long was I in Japan for?,2023/05/30 (Tue) 20:50,two weeks,1,1,1,1,1,1,1
4fd1909e,single-session-user,Where did I attend the Imagine Dragons concert?,2023/05/30 (Tue) 18:25,Xfinity Center,1,1,1,1,1,1,1
545bd2b5,single-session-user,How much screen time have I been averaging on Instagram per day?,2023/05/30 (Tue) 23:30,2 hours,1,1,1,1,1,1,1
8a137a7f,single-session-user,What type of bulb did I replace in my bedside lamp?,2023/05/30 (Tue) 14:18,Philips LED bulb,1,1,1,1,1,1,1
76d63226,single-session-user,What size is my new Samsung TV?,2023/05/30 (Tue) 16:56,55-inch,1,1,1,1,1,1,1
86f00804,single-session-user,What book am I currently reading?,2023/05/30 (Tue) 18:40,The Seven Husbands of Evelyn Hugo,1,1,1,1,1,1,1
8e9d538c,single-session-user,How many skeins of worsted weight yarn did I find in my stash?,2023/05/30 (Tue) 18:03,17,1,1,1,1,1,1,1
311778f1,single-session-user,How many hours did I spend watching documentaries on Netflix last month?,2023/05/30 (Tue) 15:40,10,1,1,1,1,1,1,1
c19f7a0b,single-session-user,What time do I usually get home from work on weeknights?,2023/05/30 (Tue) 22:19,6:30 pm,1,1,1,1,1,1,1
4100d0a0,single-session-user,What is my ethnicity?,2023/05/30 (Tue) 18:19,A mix of Irish and Italian,1,1,1,1,1,1,1
29f2956b,single-session-user,How much time do I dedicate to practicing guitar every day?,2023/05/30 (Tue) 20:45,30 minutes,1,1,1,1,1,1,1
1faac195,single-session-user,Where does my sister Emily live?,2023/05/30 (Tue) 19:50,Denver,1,1,1,1,1,1,1
faba32e5,single-session-user,How long did Alex marinate the BBQ ribs in special sauce?,2023/05/30 (Tue) 22:10,24 hours,1,1,1,1,1,1,1
f4f1d8a4,single-session-user,Who gave me a new stand mixer as a birthday gift?,2023/05/30 (Tue) 20:29,my sister,1,1,1,1,1,1,1
